#"+EI Scan (rt: 8.416-8.503 min, 16 scans) CM1-3-7.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.1,169.160217285156
1,40.2,21.0600128173828
2,41.0,4525.1484375
3,42.1,18883.41015625
4,43.1,3313.64526367188
5,44.1,12185.7763671875
6,44.9,11.767523765564
7,45.0,218.671508789063
8,45.1,81.3448028564453
9,49.8,69.036506652832
10,49.9,247.572326660156
11,50.1,251.962936401367
12,51.0,1647.091796875
13,51.9,114.660041809082
14,52.0,517.609252929688
15,53.0,891.49560546875
16,53.1,336.963897705078
17,54.0,1199.0927734375
18,54.1,344.187469482422
19,55.0,4172.5595703125
20,56.1,3485.36938476563
21,57.0,28551.650390625
22,58.0,1240.69067382813
23,58.9,58.5702438354492
24,59.0,132.707122802734
25,59.1,48.4201774597168
26,60.7,9.65394973754883
27,60.9,41.7218818664551
28,61.1,26.2189712524414
29,61.8,41.6599197387695
30,62.0,345.357208251953
31,62.8,50.7101173400879
32,63.0,528.660217285156
33,63.0,685.893188476563
34,63.8,29.8476676940918
35,64.0,384.943603515625
36,64.1,113.221603393555
37,65.0,5822.9541015625
38,65.9,185.920806884766
39,66.0,397.1015625
40,66.2,27.3217010498047
41,66.9,52.4187545776367
42,67.0,2794.90576171875
43,68.0,4201.50439453125
44,69.0,4658.380859375
45,70.1,6880.21240234375
46,71.0,143.497955322266
47,71.1,591.376098632813
48,72.0,31.6467380523682
49,72.1,50.2923202514648
50,72.6,9.54922962188721
51,72.8,6.06633472442627
52,73.0,56.5201034545898
53,73.9,286.506011962891
54,74.0,149.913223266602
55,74.7,14.669864654541
56,75.0,2848.20092773438
57,75.2,25.9670467376709
58,76.0,271.610870361328
59,76.1,231.839172363281
60,76.2,129.223541259766
61,77.0,8162.75146484375
62,78.0,2802.7373046875
63,79.0,6701.4140625
64,79.8,45.7359886169434
65,80.0,1549.93798828125
66,80.9,179.464004516602
67,81.0,722.268371582031
68,81.2,38.2798652648926
69,82.0,929.707275390625
70,82.1,2902.92041015625
71,82.9,40.5795402526855
72,83.0,2401.62963867188
73,84.0,1268.6875
74,84.1,466.320770263672
75,84.2,17.5440444946289
76,84.9,182.853256225586
77,85.0,50.3104858398438
78,86.0,159.526443481445
79,86.9,31.6538925170898
80,87.1,12.7406635284424
81,87.8,12.4970045089722
82,88.0,101.94465637207
83,88.1,46.6159934997559
84,88.2,14.1669778823853
85,89.0,1720.15319824219
86,89.8,25.7328395843506
87,90.1,226.218414306641
88,90.1,742.939636230469
89,91.0,26233.802734375
90,92.0,2680.5244140625
91,93.0,471.275695800781
92,93.1,209.495544433594
93,94.0,198.095001220703
94,94.1,2215.12255859375
95,95.0,13032.970703125
96,96.1,16261.08203125
97,96.9,37.5457458496094
98,97.1,2516.43579101563
99,97.9,131.042831420898
100,98.0,591.036926269531
101,98.2,104.046676635742
102,99.0,20.4430313110352
103,99.7,23.6671123504639
104,99.9,44.2072830200195
105,100.1,26.1316204071045
106,101.0,385.704071044922
107,101.1,33.3485984802246
108,101.8,74.9776077270508
109,102.0,586.844543457031
110,102.1,257.109375
111,103.0,6804.89111328125
112,104.0,3869.6796875
113,105.0,21916.751953125
114,106.1,2206.98828125
115,106.9,44.5445289611816
116,107.0,417.272308349609
117,107.1,32.3694038391113
118,108.0,684.476928710938
119,109.0,4372.4833984375
120,110.0,1589.70422363281
121,110.1,69.8073120117188
122,111.0,4573.71435546875
123,111.9,334.972106933594
124,112.0,806.368408203125
125,112.7,10.1456050872803
126,112.9,27.059684753418
127,113.0,93.3740081787109
128,114.9,131.085113525391
129,115.0,573.894470214844
130,115.9,83.7208709716797
131,116.0,367.086120605469
132,116.9,21.056957244873
133,117.0,1455.0166015625
134,118.0,307.380615234375
135,118.1,98.7450408935547
136,119.0,80.9764022827148
137,119.8,23.7472133636475
138,119.9,92.0593490600586
139,120.1,79.1004943847656
140,120.2,23.5718116760254
141,120.9,163.94499206543
142,121.0,814.912902832031
143,121.1,51.231143951416
144,122.0,1340.46899414063
145,122.0,7089.75244140625
146,123.0,1153.00207519531
147,123.0,1580.80786132813
148,124.0,2330.318359375
149,124.9,174.176971435547
150,125.1,10.0701951980591
151,125.7,14.7315063476563
152,126.0,11.3580875396729
153,127.0,71.0308456420898
154,127.9,97.7841415405273
155,128.0,192.85774230957
156,128.1,43.3309783935547
157,128.9,71.8825531005859
158,129.1,374.875518798828
159,130.0,2599.88842773438
160,130.8,41.853401184082
161,131.0,457.223693847656
162,131.1,281.98486328125
163,132.0,1183.31213378906
164,133.0,309.861358642578
165,133.1,187.000762939453
166,133.8,18.9986686706543
167,133.9,89.9123382568359
168,134.1,952.925109863281
169,135.0,1078.90173339844
170,135.1,1700.65563964844
171,136.0,8326.826171875
172,137.0,3046.93310546875
173,138.0,938.030334472656
174,138.1,137.480545043945
175,139.0,560.599426269531
176,139.1,746.734985351563
177,139.8,36.001708984375
178,140.0,60.4850997924805
179,140.1,76.7561111450195
180,140.9,56.7194709777832
181,141.1,66.6900482177734
182,141.9,55.7687530517578
183,142.9,32.9298629760742
184,143.0,170.879760742188
185,144.0,201.099700927734
186,144.1,400.759918212891
187,144.2,121.27522277832
188,144.9,35.671989440918
189,145.1,195.337890625
190,145.2,45.2808418273926
191,145.9,17.2224578857422
192,146.1,1022.13909912109
193,146.9,25.875904083252
194,147.1,286.056854248047
195,147.3,13.2728033065796
196,148.0,8668.5546875
197,149.1,6244.2236328125
198,150.1,12831.87890625
199,150.9,66.585090637207
200,151.0,2004.53271484375
201,151.9,90.3388442993164
202,152.1,129.376968383789
203,152.2,28.6483039855957
204,153.1,15.6193904876709
205,154.8,44.5905456542969
206,155.0,54.2369079589844
207,155.8,31.7085037231445
208,156.0,117.130065917969
209,156.1,42.3053512573242
210,157.0,42.9416999816895
211,157.2,24.4178352355957
212,158.0,94.1589660644531
213,158.1,168.891693115234
214,158.1,236.617309570313
215,158.9,9.29001235961914
216,159.0,38.2714157104492
217,159.1,316.055633544922
218,160.0,710.850830078125
219,160.1,1082.49658203125
220,160.9,68.7236557006836
221,161.1,285.263824462891
222,161.2,218.850967407227
223,161.9,90.2812042236328
224,162.0,1376.63024902344
225,163.1,1107.0830078125
226,163.1,520.103088378906
227,164.1,50149.86328125
228,165.1,5656.9716796875
229,166.0,188.107940673828
230,166.1,624.787780761719
231,166.2,9.56922340393066
232,166.9,23.3349666595459
233,167.0,529.283447265625
234,167.2,33.9903678894043
235,167.9,159.531539916992
236,168.0,148.928802490234
237,168.1,147.916351318359
238,168.9,9.70106410980225
239,169.0,20.3802452087402
240,169.1,52.8682556152344
241,169.9,30.828556060791
242,170.0,16.7767448425293
243,170.8,9.55653381347656
244,173.0,31.9307346343994
245,173.9,11.6650390625
246,174.0,147.009048461914
247,174.2,16.4427585601807
248,175.0,118.895515441895
249,175.1,84.9811248779297
250,176.0,3189.09716796875
251,176.9,94.6837158203125
252,177.1,1380.38537597656
253,177.9,62.3440780639648
254,178.0,623.332946777344
255,178.2,65.9364547729492
256,178.9,27.2510528564453
257,179.0,31.2782402038574
258,179.1,97.8827285766602
259,180.1,20.715913772583
260,181.9,10.2018747329712
261,182.1,48.1330909729004
262,183.0,11.3534851074219
263,184.0,288.754669189453
264,184.1,819.950134277344
265,185.0,386.614562988281
266,185.1,235.959945678711
267,186.0,44.7602005004883
268,186.1,2771.646484375
269,187.0,455.028228759766
270,187.1,286.347015380859
271,188.1,2283.54760742188
272,188.9,13.9006624221802
273,189.1,913.785461425781
274,189.8,10.6309652328491
275,190.0,202.772476196289
276,190.1,162.778106689453
277,190.2,42.7269134521484
278,190.9,14.2760381698608
279,191.0,321.202697753906
280,191.1,256.105010986328
281,191.9,38.0785789489746
282,192.1,49.1402778625488
283,193.1,17.2094097137451
284,196.8,13.5418996810913
285,200.0,9.71436405181885
286,202.0,23.9368324279785
287,202.9,43.165584564209
288,203.1,48.2008514404297
289,203.2,25.169490814209
290,203.9,9.53601932525635
291,204.0,64.0315246582031
292,204.2,22.7175045013428
293,205.0,383.468933105469
294,205.1,1511.90466308594
295,206.1,944.651489257813
296,206.1,1446.93786621094
297,207.1,24092.65234375
298,208.0,140.36669921875
299,208.1,3224.07666015625
300,209.0,168.889724731445
301,210.9,60.4149322509766
302,211.0,40.5821723937988
303,214.0,9.04865837097168
304,214.2,12.8378801345825
305,214.7,1.26025009155273
306,214.9,144.451400756836
307,215.8,11.8413581848145
308,215.9,35.1920394897461
309,217.0,10.543869972229
310,217.1,24.299015045166
311,218.0,35.8407592773438
312,218.0,137.076568603516
313,218.2,16.4937934875488
314,218.7,36.9648094177246
315,218.9,97.3617553710938
316,219.0,111.480499267578
317,219.2,15.8388681411743
318,220.1,11321.03515625
319,220.9,9.53801918029785
320,221.1,1815.83251953125
321,221.3,11.2851400375366
322,222.0,34.9132385253906
323,222.1,100.235809326172
324,228.8,23.0063247680664
325,229.0,11.5688486099243
326,231.1,63.6946792602539
327,231.3,26.9946842193604
328,232.0,22.9118385314941
329,232.9,40.4981231689453
330,233.0,115.161087036133
331,233.1,34.4607124328613
332,234.0,83.7564544677734
333,234.1,513.75048828125
334,234.2,166.742126464844
335,235.0,68.5062484741211
336,235.1,19.8001537322998
337,236.8,28.7992095947266
338,236.9,48.0441017150879
339,244.1,14.4617528915405
340,245.1,13.092209815979
341,247.1,13.2926836013794
342,247.2,11.5612020492554
343,257.0,352.660888671875
344,257.1,603.705322265625
345,257.9,10.1312990188599
346,258.0,164.616760253906
347,258.2,33.4316635131836
348,260.1,11.67897605896
349,260.2,9.5679874420166
350,260.3,20.7548656463623
351,260.9,46.9320793151855
352,261.0,44.4970932006836
353,261.1,97.4756164550781
354,261.3,65.8824157714844
355,261.5,27.9318332672119
356,261.7,39.7134552001953
357,262.0,45.7411422729492
358,262.2,411.403167724609
359,263.2,93126.5234375
360,264.2,15866.1748046875
361,265.1,574.706726074219
362,265.2,1027.62707519531
363,266.1,48.8888092041016
364,266.2,31.6448917388916
365,269.2,12.8721990585327
366,288.7,13.8898897171021
367,293.0,14.4042997360229
368,293.2,9.98079013824463
369,295.1,9.53924179077148
370,296.8,14.083888053894
371,297.0,38.1030654907227
372,297.1,53.9365653991699
373,297.2,19.8747425079346
374,298.1,9.65379619598389
375,351.9,10.5081195831299
376,352.1,67.7840576171875
377,352.2,137.847915649414
378,352.9,26.944465637207
379,353.1,27.8061065673828
380,354.9,10.0597543716431
