#"+EI Scan (rt: 7.990-8.089 min, 18 scans) Fent-4.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.1,79.3157730102539
1,41.1,1724.12731933594
2,42.1,5982.09619140625
3,43.0,1005.06414794922
4,44.0,3192.49731445313
5,44.9,55.8954010009766
6,45.0,79.9196243286133
7,50.0,326.485168457031
8,50.1,28.8260879516602
9,50.9,38.2411117553711
10,51.0,1330.6669921875
11,51.9,165.890380859375
12,52.0,254.174179077148
13,52.9,17.9652290344238
14,53.0,585.387878417969
15,53.8,15.9039258956909
16,54.0,187.208236694336
17,54.0,496.773864746094
18,55.0,1643.30163574219
19,56.0,106.323425292969
20,56.1,1373.35754394531
21,57.0,7565.65771484375
22,57.9,26.3672561645508
23,57.9,143.525421142578
24,58.0,240.60661315918
25,59.0,85.6101226806641
26,61.8,30.1339721679688
27,62.0,77.6468658447266
28,62.9,19.472354888916
29,63.0,669.710205078125
30,63.9,54.7697792053223
31,64.0,362.8154296875
32,64.2,29.1625156402588
33,65.0,2905.39575195313
34,66.0,654.748474121094
35,67.0,1382.79455566406
36,67.9,32.3718299865723
37,68.1,1582.4208984375
38,69.0,1524.61376953125
39,70.0,34.6770324707031
40,70.1,2502.02392578125
41,70.9,228.843414306641
42,71.1,128.035354614258
43,71.9,18.2236251831055
44,73.0,82.3914642333984
45,73.1,1.47236919403076
46,73.9,100.093414306641
47,74.0,60.2355308532715
48,74.9,200.010650634766
49,76.0,298.479705810547
50,76.1,165.635665893555
51,77.0,9361.5146484375
52,78.0,2060.29809570313
53,79.0,1778.81982421875
54,79.1,1533.95446777344
55,80.0,606.337280273438
56,80.1,199.464248657227
57,81.0,404.145477294922
58,81.9,36.7609596252441
59,82.0,1387.16149902344
60,83.0,286.355133056641
61,83.1,146.698593139648
62,83.9,11.595362663269
63,84.0,531.651489257813
64,85.0,140.486129760742
65,85.9,12.40953540802
66,86.0,36.3109474182129
67,86.9,18.265417098999
68,87.9,10.5633611679077
69,88.9,19.8591480255127
70,89.0,548.910949707031
71,89.9,11.108793258667
72,90.0,30.9295120239258
73,90.1,429.663146972656
74,90.2,34.9933586120605
75,91.0,9660.8603515625
76,92.0,1369.3193359375
77,93.0,2789.90258789063
78,94.0,478.712341308594
79,94.1,1411.53393554688
80,94.9,60.9009170532227
81,95.0,1062.16137695313
82,96.1,6791.4580078125
83,97.0,445.307006835938
84,97.1,533.884765625
85,97.9,126.482971191406
86,98.1,162.594970703125
87,101.0,31.6454944610596
88,102.0,180.580017089844
89,102.1,212.394760131836
90,103.0,3219.92309570313
91,104.0,203.634658813477
92,104.0,4614.716796875
93,105.0,11786.400390625
94,105.9,37.8849983215332
95,106.0,2165.3291015625
96,106.9,45.7564659118652
97,107.0,255.638320922852
98,107.9,44.5928688049316
99,108.1,85.648567199707
100,108.2,15.8026466369629
101,108.9,13.9114665985107
102,109.0,90.5220718383789
103,109.8,8.55712890625
104,109.9,32.4066619873047
105,111.0,58.4226341247559
106,111.1,8.71771430969238
107,112.9,12.9655361175537
108,114.9,106.923194885254
109,115.0,546.209106445313
110,116.0,311.813201904297
111,116.1,9.76405143737793
112,117.0,447.045776367188
113,117.0,1683.6015625
114,118.1,5119.1142578125
115,118.9,70.297607421875
116,119.0,1283.38623046875
117,119.1,48.5369682312012
118,120.0,244.812469482422
119,120.1,453.206207275391
120,121.0,57.6323051452637
121,126.8,11.0615329742432
122,127.0,81.095832824707
123,127.7,8.85018730163574
124,128.0,271.558471679688
125,128.9,55.1439094543457
126,129.0,209.429473876953
127,130.1,5345.04736328125
128,131.0,2102.45874023438
129,131.1,1189.83959960938
130,132.1,7409.0068359375
131,132.9,57.5504570007324
132,133.0,1178.89453125
133,134.0,427.412811279297
134,134.1,119.668159484863
135,135.1,63.7891998291016
136,137.0,176.273223876953
137,138.9,121.203422546387
138,139.1,378.398223876953
139,139.9,26.838191986084
140,140.0,47.9521636962891
141,141.0,66.3168334960938
142,141.2,15.6165990829468
143,141.8,9.1698112487793
144,142.0,22.7757968902588
145,142.1,21.8497543334961
146,142.9,80.1572113037109
147,143.0,192.698303222656
148,144.0,743.214904785156
149,144.1,337.198852539063
150,144.7,9.91369342803955
151,144.9,15.569769859314
152,145.1,846.440063476563
153,146.1,33692.7109375
154,147.1,4047.49047851563
155,147.9,124.932952880859
156,148.0,454.648559570313
157,148.9,69.4272994995117
158,149.1,253.69319152832
159,149.9,18.7845821380615
160,150.0,179.284774780273
161,150.1,65.54345703125
162,150.9,19.9809436798096
163,153.0,8.48144912719727
164,154.8,14.8962268829346
165,155.0,26.0634841918945
166,155.1,29.0348930358887
167,155.8,24.5104503631592
168,156.0,137.55876159668
169,156.1,34.8923072814941
170,156.9,104.149322509766
171,157.1,85.7536544799805
172,158.1,2956.1630859375
173,159.0,486.087707519531
174,159.0,512.35400390625
175,160.0,128.165161132813
176,160.1,1373.62145996094
177,160.9,11.7970609664917
178,161.0,219.874725341797
179,161.1,44.8906707763672
180,161.2,13.9091892242432
181,162.0,22.6032333374023
182,163.1,21.7657470703125
183,164.9,8.80538368225098
184,165.0,14.0508823394775
185,167.0,21.6974315643311
186,167.9,9.46220970153809
187,168.9,24.3947715759277
188,170.0,52.0620498657227
189,170.1,25.6078395843506
190,171.1,22.5819664001465
191,171.8,10.0923166275024
192,172.0,85.2346496582031
193,172.0,197.269088745117
194,172.2,9.3640251159668
195,172.9,78.4568862915039
196,173.0,205.93115234375
197,174.1,55.1265106201172
198,174.2,10.1147403717041
199,182.1,17.7926406860352
200,184.0,64.4572982788086
201,184.1,260.375946044922
202,184.2,109.885765075684
203,184.9,48.4154281616211
204,185.1,299.570587158203
205,185.2,23.0153198242188
206,186.1,768.979064941406
207,186.1,610.584045410156
208,187.0,145.094314575195
209,187.1,1134.048828125
210,188.1,2125.4072265625
211,189.1,20999.8203125
212,190.1,2840.59912109375
213,191.0,78.3552398681641
214,191.1,168.55305480957
215,191.2,12.5951089859009
216,197.0,8.75621128082275
217,198.8,12.0288410186768
218,199.9,13.6200609207153
219,200.1,11.9322566986084
220,200.2,23.4794654846191
221,201.0,56.0789222717285
222,201.1,10.2933330535889
223,202.1,7305.9833984375
