#"+EI Scan (rt: 3.748-3.794 min, 9 scans) MIX1-1b.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,739.067565917969
1,42.0,2777.93579101563
2,43.0,820.616271972656
3,44.0,6905.34521484375
4,45.0,200.599914550781
5,49.9,181.204818725586
6,50.9,99.2214965820313
7,51.0,226.928985595703
8,51.9,18.4508190155029
9,53.0,337.590087890625
10,54.0,165.464172363281
11,55.0,1099.55517578125
12,56.0,1293.1396484375
13,57.0,1652.24694824219
14,58.0,1061.85766601563
15,60.9,18.6177597045898
16,61.0,36.0627250671387
17,62.0,531.834533691406
18,63.0,1732.59387207031
19,64.0,258.741027832031
20,65.0,2325.18212890625
21,66.0,158.958053588867
22,68.0,104.755432128906
23,68.1,22.0318546295166
24,68.9,20.1614971160889
25,70.0,728.205139160156
26,71.0,208.484527587891
27,73.9,57.3799171447754
28,74.8,23.5463047027588
29,76.0,22.8026008605957
30,77.0,265.086120605469
31,77.9,41.1099319458008
32,78.9,128.084457397461
33,84.1,2612.46166992188
34,85.0,168.102081298828
35,85.1,157.515762329102
36,86.1,37897.0703125
37,87.1,2290.08666992188
38,88.0,17.9274444580078
39,88.9,20.3174667358398
40,89.0,45.2589569091797
41,91.0,891.670043945313
42,92.0,113.32844543457
43,92.9,27.1297626495361
44,93.0,22.4704818725586
45,95.4,120.198379516602
46,95.6,31.3467025756836
47,95.8,42.293872833252
48,103.0,23.499382019043
49,105.0,38.9528121948242
50,115.0,35.6587791442871
51,116.9,17.6609592437744
52,119.0,232.821884155273
53,119.9,93.0414962768555
54,120.0,73.7869491577148
55,121.0,2146.94580078125
56,122.0,265.7353515625
57,130.9,17.7713642120361
58,132.9,13.5171642303467
59,133.9,66.3368606567383
60,135.0,384.116424560547
61,146.9,126.520126342773
62,148.0,59.2719802856445
63,149.0,2950.63427734375
64,150.0,288.967956542969
65,161.9,26.6389541625977
66,162.0,284.346343994141
67,162.9,17.9159870147705
68,164.0,623.734130859375
69,177.0,17.383768081665
70,191.0,18.592643737793
71,192.0,292.208770751953
72,192.9,17.3372325897217
73,207.0,61.0159912109375
