#"+EI Scan (rt: 3.981-4.028 min, 9 scans) MIX2-3.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,806.354736328125
1,42.0,3932.49829101563
2,43.0,1023.83770751953
3,44.0,1237.83825683594
4,45.0,193.476379394531
5,46.0,213.322570800781
6,50.0,228.69255065918
7,51.0,457.285034179688
8,52.0,92.975830078125
9,53.0,506.481170654297
10,54.0,158.273254394531
11,55.0,1520.42626953125
12,56.0,2856.78125
13,57.0,898.806701660156
14,58.0,6852.20263671875
15,59.0,257.702941894531
16,60.9,85.0977401733398
17,62.0,641.414306640625
18,63.0,2349.41479492188
19,64.0,353.482635498047
20,65.0,3382.455078125
21,66.0,277.894195556641
22,66.9,48.4493751525879
23,67.0,49.2932167053223
24,68.0,418.190673828125
25,68.9,20.9096870422363
26,69.0,121.600112915039
27,70.1,1771.59606933594
28,71.1,5437.0146484375
29,72.0,1978.67358398438
30,73.0,168.324401855469
31,73.8,47.8449516296387
32,74.0,62.5723342895508
33,75.0,66.2263488769531
34,75.9,89.547248840332
35,77.0,462.273040771484
36,77.9,46.2013816833496
37,78.0,75.9017105102539
38,79.0,268.764465332031
39,80.0,18.0644683837891
40,80.9,20.0772895812988
41,82.0,262.675354003906
42,83.0,171.382049560547
43,84.0,1535.05358886719
44,85.0,295.833221435547
45,86.0,119.418403625488
46,88.9,107.405410766602
47,89.0,32.5048713684082
48,90.0,57.5558815002441
49,91.0,1334.16821289063
50,92.0,234.992263793945
51,95.9,108.321014404297
52,96.0,38.6004905700684
53,98.1,803.228698730469
54,99.1,394.562622070313
55,100.1,92543.921875
56,101.1,6487.65771484375
57,102.1,144.869567871094
58,102.2,122.647491455078
59,102.8,77.5654830932617
60,103.0,138.338104248047
61,104.0,76.1202697753906
62,105.0,240.925354003906
63,115.0,119.920936584473
64,117.0,92.8692932128906
65,118.0,45.1584281921387
66,118.9,449.486236572266
67,120.0,322.719390869141
68,121.0,2965.01586914063
69,121.9,214.060623168945
70,122.0,136.536315917969
71,131.0,70.9327392578125
72,132.0,76.4322509765625
73,132.9,161.906188964844
74,134.0,17.3835983276367
75,135.0,981.115234375
76,136.0,78.7438659667969
77,145.0,66.8644561767578
78,146.0,75.3830184936523
79,147.0,410.706237792969
80,147.9,24.394359588623
81,148.0,128.231307983398
82,149.0,4012.55078125
83,150.0,439.027679443359
84,160.0,37.6134567260742
85,161.9,60.0630683898926
86,162.9,35.0029449462891
87,164.0,245.36604309082
88,175.0,170.307174682617
89,176.0,126.379028320313
90,177.0,199.922927856445
91,178.0,136.303375244141
92,178.0,354.155364990234
93,188.0,65.8291015625
94,190.0,68.9712753295898
95,190.9,63.3329811096191
96,204.0,218.69123840332
97,206.0,322.573822021484
98,207.0,34.4186401367188
99,208.0,27.6371765136719
