#"+EI Scan (rt: 5.697 min) Cathinone_2.D "
#Point,X(Thompsons),Y(Counts)
0,40.0,1815.93872070313
1,41.0,3377.59204101563
2,42.1,20006.34375
3,43.1,8695.2880859375
4,44.1,386714.78125
5,45.1,10197.9970703125
6,46.0,172.300369262695
7,46.9,190.690780639648
8,47.9,212.603988647461
9,48.9,630.755798339844
10,50.1,12530.431640625
11,51.1,40028.33203125
12,52.1,4439.83740234375
13,53.0,1228.00842285156
14,54.1,372.137878417969
15,55.0,800.35986328125
16,56.0,345.604278564453
17,57.0,353.640869140625
18,58.2,196.31755065918
19,59.0,2697.6298828125
20,60.0,150.623229980469
21,61.0,307.113311767578
22,62.0,1053.01611328125
23,63.0,2139.44604492188
24,64.0,976.280151367188
25,65.1,1201.05969238281
26,66.0,394.437835693359
27,66.8,206.411499023438
28,67.1,202.805679321289
29,70.0,213.283599853516
30,73.0,1390.12109375
31,74.0,4644.26025390625
32,75.0,3313.0419921875
33,76.0,5033.697265625
34,77.1,73852.9296875
35,78.1,14683.421875
36,79.0,4147.47265625
37,80.1,393.347015380859
38,81.0,1194.18212890625
39,82.9,158.693725585938
40,85.0,648.363708496094
41,86.0,390.290771484375
42,86.9,314.397796630859
43,87.9,157.36637878418
44,89.0,1481.55224609375
45,90.0,707.006591796875
46,91.0,1779.56140136719
47,92.0,938.605346679688
48,93.0,190.628463745117
49,94.9,175.462371826172
50,96.0,154.01350402832
51,102.0,522.16357421875
52,103.0,1293.72814941406
53,104.1,1362.47888183594
54,105.0,33755.30859375
55,106.0,6907.56591796875
56,107.1,743.525024414063
57,109.0,668.845092773438
58,113.0,184.162582397461
59,115.1,1216.849609375
60,116.0,876.059020996094
61,117.0,1599.17761230469
62,118.0,740.467590332031
63,119.0,327.128631591797
64,120.0,378.154235839844
65,128.0,234.422088623047
66,130.0,1339.08349609375
67,131.1,940.314575195313
68,132.0,1251.08813476563
69,133.0,2543.21240234375
70,134.1,3792.20922851563
71,135.0,506.943664550781
72,137.0,4970.888671875
73,138.0,454.269897460938
74,139.0,254.932495117188
75,140.9,175.549270629883
76,146.0,233.464691162109
77,146.9,164.680770874023
78,148.1,313.009948730469
79,148.9,334.235229492188
80,155.0,447.065734863281
81,159.0,1650.21337890625
82,160.0,216.744720458984
83,161.0,311.075744628906
84,162.9,196.451171875
85,167.0,190.668197631836
86,171.0,336.285400390625
87,207.0,184.567230224609
88,211.0,323.838043212891
89,215.0,2863.7158203125
90,216.0,566.987182617188
91,217.0,419.159820556641
92,218.9,929.830444335938
93,219.9,208.064910888672
94,221.0,201.805587768555
95,233.0,566.640686035156
96,237.0,1750.87841796875
97,237.9,389.4697265625
98,238.9,207.253387451172
99,240.9,256.732086181641
100,273.0,245.986373901367
101,276.9,164.195495605469
102,289.0,287.130981445313
103,293.0,729.525024414063
104,293.9,251.042556762695
105,296.9,189.509384155273
