#"+EI Scan (rt: 5.691-5.729 min, 7 scans) Cathinone_7.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.0,574.869812011719
1,41.0,1711.82666015625
2,42.1,8920.3349609375
3,43.1,3954.28564453125
4,44.1,168445.296875
5,45.1,4556.955078125
6,47.0,54.9269065856934
7,47.9,2.60588073730469
8,48.9,97.873291015625
9,49.0,156.355667114258
10,50.0,5536.04443359375
11,51.1,17573.06640625
12,52.1,1853.12463378906
13,53.0,530.472412109375
14,54.0,68.8026275634766
15,55.0,443.976837158203
16,55.9,25.8237743377686
17,56.1,139.427825927734
18,56.9,21.5795879364014
19,57.0,80.4023132324219
20,57.1,55.1285018920898
21,58.2,22.4717464447021
22,59.0,89.06396484375
23,61.0,114.426223754883
24,62.0,484.444366455078
25,62.1,58.0568618774414
26,63.0,1048.44799804688
27,64.0,320.57275390625
28,65.0,567.966857910156
29,65.9,201.55989074707
30,66.1,23.3695907592773
31,67.0,147.315124511719
32,67.1,37.1349754333496
33,68.9,85.8506393432617
34,69.0,18.4496307373047
35,70.0,85.134765625
36,73.0,270.334533691406
37,74.0,2035.65637207031
38,75.0,1540.76525878906
39,76.0,2292.80493164063
40,77.0,32977.57421875
41,78.0,5844.271484375
42,79.0,1995.52368164063
43,80.0,183.340393066406
44,81.0,11.8250122070313
45,84.9,36.0933837890625
46,85.1,71.5606231689453
47,85.9,88.8356094360352
48,87.0,132.027404785156
49,89.0,740.142883300781
50,90.0,441.549896240234
51,91.0,1174.03137207031
52,91.9,62.952392578125
53,92.0,526.036437988281
54,92.9,86.0421142578125
55,93.0,57.7461280822754
56,102.0,319.340087890625
57,102.9,42.8553047180176
58,103.0,581.334533691406
59,104.0,745.284484863281
60,105.0,16193.43359375
61,106.0,3466.84692382813
62,107.0,155.90007019043
63,107.1,271.447967529297
64,109.0,93.3021240234375
65,115.0,731.80029296875
66,116.1,657.651306152344
67,117.0,919.048706054688
68,118.0,406.64697265625
69,118.1,27.4833164215088
70,119.0,88.0154724121094
71,119.1,18.4438400268555
72,120.0,125.69734954834
73,120.2,34.6989402770996
74,127.9,49.6079902648926
75,128.1,35.9769821166992
76,128.9,44.2255439758301
77,129.9,68.3152542114258
78,130.0,796.964233398438
79,131.0,594.108520507813
80,132.0,735.566833496094
81,132.2,67.5920181274414
82,133.1,1497.08264160156
83,134.0,1898.81604003906
84,135.0,181.942428588867
85,138.0,32.8394927978516
86,140.9,24.5117797851563
87,146.0,51.6914863586426
88,148.0,101.023231506348
89,149.0,103.650764465332
90,151.0,41.2333641052246
91,154.9,94.9764862060547
92,159.9,19.7499942779541
93,162.8,45.6970100402832
94,166.9,69.6238784790039
95,167.0,22.520788192749
96,170.9,78.675422668457
97,171.1,37.3562507629395
98,171.8,24.4923400878906
99,172.0,23.9853553771973
100,195.0,24.6654262542725
101,210.9,2.54972076416016
102,211.1,12.6395034790039
103,213.0,21.8688926696777
104,215.0,82.279052734375
105,216.0,65.4339447021484
106,216.9,21.9645385742188
107,217.1,29.6057415008545
108,220.9,23.59987449646
109,233.0,23.2716751098633
110,237.0,9.05792236328125
111,237.9,73.0098648071289
112,238.9,29.6244125366211
113,239.1,24.5518989562988
114,289.0,79.6780624389648
115,292.9,7.78672790527344
116,294.0,25.0037479400635
117,296.9,10.6868677139282
