#"+EI Scan (rt: 2.055-2.066 min, 3 scans) GC-CONFIRM-3.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.0,1627.20812988281
1,41.1,31620.361328125
2,42.1,22859.78515625
3,43.1,10547.810546875
4,44.0,1385.93566894531
5,45.0,31.5543823242188
6,49.0,177.827880859375
7,50.0,5098.14599609375
8,51.0,20753.2109375
9,52.0,2317.412109375
10,53.0,3563.01977539063
11,54.0,12207.89453125
12,55.1,33566.62890625
13,56.1,8749.9814453125
14,57.0,939.9267578125
15,58.1,7652.59130859375
16,59.0,310.464752197266
17,62.0,349.10888671875
18,63.0,1103.82507324219
19,64.0,275.175201416016
20,65.0,1459.21350097656
21,66.0,459.396392822266
22,67.0,1731.91015625
23,68.0,7886.19970703125
24,69.1,8911.015625
25,70.1,36467.84765625
26,71.1,2592.06616210938
27,72.0,220.54850769043
28,73.0,149.171340942383
29,74.0,1135.59484863281
30,75.0,1227.54211425781
31,76.0,2899.1103515625
32,77.0,56196.4375
33,78.0,5774.23193359375
34,79.0,1211.13916015625
35,80.0,1866.11560058594
36,81.0,898.821105957031
37,82.1,4030.70922851563
38,83.0,1775.42858886719
39,84.1,3247.16333007813
40,85.0,121.122711181641
41,85.2,91.8930587768555
42,86.3,67.2328338623047
43,86.8,158.644882202148
44,89.0,1025.70031738281
45,89.9,71.737907409668
46,90.0,519.939270019531
47,91.0,5963.21923828125
48,92.0,636.763854980469
49,93.0,629.441772460938
50,94.0,2137.89282226563
51,95.0,1128.30249023438
52,96.1,16276.5791015625
53,97.1,10645.9384765625
54,98.0,814.242004394531
55,101.0,58.1885108947754
56,102.0,882.98193359375
57,103.0,1293.75109863281
58,104.0,1496.79357910156
59,105.0,28767.71484375
60,106.0,2659.36962890625
61,107.0,197.288314819336
62,108.1,2434.60986328125
63,109.1,391.568817138672
64,110.1,27127.423828125
65,111.1,5621.126953125
66,112.1,722893.25
67,113.1,58988.90234375
68,114.1,2059.82397460938
69,115.0,2087.04345703125
70,116.0,733.155822753906
71,117.0,1204.791015625
72,118.0,598.489440917969
73,119.0,118.392051696777
74,120.0,465.248504638672
75,127.0,456.582855224609
76,128.0,1000.35504150391
77,129.0,749.379577636719
78,130.0,1000.84954833984
79,131.0,1300.4072265625
80,131.9,494.897705078125
81,133.0,728.884582519531
82,134.0,115.266624450684
83,141.0,60.2491760253906
84,141.9,81.160758972168
85,143.0,202.854049682617
86,144.0,323.397766113281
87,145.0,474.649139404297
88,146.0,657.099914550781
89,147.0,648.244384765625
90,148.0,827.562438964844
91,153.0,68.1454162597656
92,155.0,70.0529327392578
93,156.0,122.270545959473
94,158.0,402.828247070313
95,158.1,100.849189758301
96,159.0,445.881683349609
97,160.0,1229.54309082031
98,161.0,148.00032043457
99,166.9,91.8145523071289
100,167.1,51.8019752502441
101,168.1,100.66136932373
102,170.0,263.447052001953
103,172.0,262.845397949219
104,173.0,190.83203125
105,174.1,59.314697265625
106,184.0,134.186965942383
107,186.1,1091.20642089844
108,187.0,273.77099609375
109,188.1,3184.93920898438
110,189.1,433.138824462891
111,199.0,67.7264175415039
112,200.0,230.303848266602
113,201.1,74.3449783325195
114,202.1,96.3602676391602
115,206.9,90.1216278076172
116,213.1,206.765914916992
117,214.0,235.841812133789
118,215.1,774.775390625
119,216.1,533.238220214844
120,217.1,273.364349365234
