#"+EI Scan (rt: 2.634-2.681 min, 9 scans) GC-CM2-1.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.0,1941.76708984375
1,41.0,44048.03125
2,42.0,32250.80078125
3,43.1,14138.4453125
4,44.0,1846.97290039063
5,45.0,36.9417724609375
6,49.0,217.592620849609
7,50.0,6907.59765625
8,51.0,28250.826171875
9,52.0,3162.6591796875
10,53.0,4968.7119140625
11,54.0,16946.55859375
12,55.0,48506.3828125
13,56.0,12286.8642578125
14,57.0,1477.39819335938
15,58.1,11428.75390625
16,59.0,513.565185546875
17,60.9,77.1286315917969
18,62.0,527.337097167969
19,63.0,1482.73266601563
20,64.0,474.307983398438
21,65.0,2127.05883789063
22,66.0,585.513122558594
23,67.0,2288.0009765625
24,68.1,10482.9736328125
25,69.1,12308.4091796875
26,70.1,50923.20703125
27,71.1,3379.40283203125
28,71.9,23.357364654541
29,72.0,217.166809082031
30,73.0,194.860366821289
31,74.0,1624.41516113281
32,75.0,1683.29309082031
33,76.0,3663.16137695313
34,77.0,74484.7109375
35,78.0,7828.04296875
36,79.0,1728.71044921875
37,80.0,2074.80053710938
38,81.0,1089.94873046875
39,82.1,5317.66162109375
40,83.1,2528.70751953125
41,84.1,4523.08935546875
42,85.0,29.9132041931152
43,85.1,326.286254882813
44,85.7,39.2827301025391
45,85.9,49.875431060791
46,86.2,47.0496635437012
47,86.8,134.75813293457
48,86.9,64.3290405273438
49,87.9,122.389999389648
50,89.0,1617.74230957031
51,90.0,816.36865234375
52,91.0,9145.4716796875
53,92.0,936.710510253906
54,93.0,657.908081054688
55,94.1,2637.34008789063
56,95.1,1373.21411132813
57,96.1,22878.12890625
58,97.1,16056.169921875
59,98.1,1317.60803222656
60,99.0,38.4647483825684
61,101.0,177.412292480469
62,102.0,1268.12048339844
63,103.0,1973.22937011719
64,104.0,1806.95251464844
65,105.0,40119.81640625
66,106.0,3670.53295898438
67,106.9,21.2373924255371
68,107.0,319.775146484375
69,108.1,1853.55444335938
70,109.1,422.963287353516
71,109.2,75.3082809448242
72,110.1,37465.35546875
73,111.1,7711.291015625
74,112.1,1036973.6875
75,113.1,87212.84375
76,114.1,3206.62841796875
77,115.0,3140.48388671875
78,116.0,1193.14733886719
79,117.0,2019.49975585938
80,118.0,1085.7744140625
81,119.0,287.979858398438
82,120.0,205.501495361328
83,120.0,405.696014404297
84,125.9,17.6483383178711
85,126.0,42.3215446472168
86,127.0,739.820983886719
87,128.0,1559.54284667969
88,129.0,1123.53466796875
89,130.0,1527.46240234375
90,131.0,2081.32543945313
91,132.0,731.456787109375
92,133.0,1232.08898925781
93,134.0,115.634101867676
94,134.1,79.3531188964844
95,141.0,146.413986206055
96,142.0,136.342956542969
97,143.0,387.773559570313
98,143.9,33.1041107177734
99,144.0,419.722686767578
100,145.0,659.026611328125
101,146.0,1193.14758300781
102,147.0,893.003662109375
103,148.0,800.299743652344
104,149.0,11.1079368591309
105,153.0,151.294906616211
106,154.0,184.376922607422
107,155.0,144.546630859375
108,156.0,181.041961669922
109,157.0,48.4783058166504
110,157.1,24.086935043335
111,158.0,628.148559570313
112,159.0,652.869506835938
113,160.1,5054.22802734375
114,161.1,675.830871582031
115,167.0,244.318954467773
116,168.0,258.016998291016
117,169.0,71.6439361572266
118,170.0,536.997497558594
119,171.1,67.3846054077148
120,172.0,432.130279541016
121,173.0,292.745971679688
122,174.0,145.673614501953
123,177.9,47.4638442993164
124,178.1,74.3844909667969
125,180.0,97.8289031982422
126,182.0,37.1812553405762
127,184.1,284.135681152344
128,186.1,1416.64819335938
129,187.0,17.9480895996094
130,187.1,345.513397216797
131,188.1,5467.5712890625
132,189.1,752.199035644531
133,196.0,122.417495727539
134,197.1,43.9397926330566
135,198.0,28.9725036621094
136,198.1,126.981376647949
137,198.9,18.3877925872803
138,199.1,395.666687011719
139,200.1,308.682250976563
140,201.1,167.165252685547
141,202.1,226.115509033203
142,207.9,48.3756828308105
143,213.1,38.1297187805176
144,214.1,200.486953735352
145,215.1,644.847717285156
146,216.1,739.768859863281
147,217.1,220.828308105469
148,218.1,37.4182281494141
