#"+EI Scan (rt: 3.369-3.410 min, 8 scans) DIBUTYLONE-9.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,1754.58068847656
1,42.0,7628.67919921875
2,43.0,1859.9423828125
3,44.0,3393.19140625
4,45.0,439.111755371094
5,50.0,470.072540283203
6,51.0,861.018798828125
7,52.0,161.839767456055
8,53.0,783.7294921875
9,54.0,266.62158203125
10,55.0,952.853454589844
11,56.0,4100.97314453125
12,57.0,432.884796142578
13,58.0,1685.69409179688
14,60.9,236.549224853516
15,62.0,1431.23120117188
16,63.0,4572.2802734375
17,64.0,645.233337402344
18,65.0,5717.38525390625
19,66.0,487.133331298828
20,67.0,113.665458679199
21,68.0,722.14453125
22,69.0,724.376831054688
23,70.1,3502.44140625
24,71.1,13578.697265625
25,72.0,864.732421875
26,73.9,21.3194065093994
27,74.0,292.757171630859
28,74.9,111.416580200195
29,75.0,30.917013168335
30,76.0,173.587432861328
31,77.0,811.693481445313
32,78.0,239.102264404297
33,79.0,408.751953125
34,82.0,109.763542175293
35,84.1,3462.53076171875
36,85.1,1367.4423828125
37,86.1,153744.703125
38,87.1,9335.8642578125
39,88.0,172.842926025391
40,88.1,112.940963745117
41,88.9,241.463165283203
42,90.0,98.7400741577148
43,91.0,2168.42016601563
44,92.0,400.727386474609
45,93.1,31.5631980895996
46,94.0,19.1701889038086
47,94.6,22.7000026702881
48,101.3,21.3735580444336
49,101.7,44.1005630493164
50,101.8,27.0936069488525
51,102.9,319.409240722656
52,103.1,29.7951126098633
53,103.9,157.829711914063
54,105.0,319.834289550781
55,106.0,22.7263107299805
56,114.9,131.311187744141
57,115.9,18.9769229888916
58,116.9,66.5036163330078
59,118.0,99.319206237793
60,119.0,669.420043945313
61,120.0,540.582275390625
62,121.0,4642.4619140625
63,122.0,540.905639648438
64,130.9,135.480987548828
65,132.0,142.255676269531
66,133.0,112.702529907227
67,134.0,40.5852584838867
68,135.0,1502.79248046875
69,136.0,96.4981994628906
70,145.0,35.0770721435547
71,146.0,108.461006164551
72,146.9,22.8510360717773
73,147.0,500.027099609375
74,148.0,200.954528808594
75,148.1,40.8353500366211
76,149.0,6358.89599609375
77,150.0,627.233764648438
78,158.9,19.7089786529541
79,160.0,145.831237792969
80,161.0,104.460189819336
81,162.0,298.412841796875
82,163.0,66.5445556640625
83,164.0,25.8762397766113
84,175.0,275.445068359375
85,176.0,172.596069335938
86,177.0,177.071884155273
87,178.0,819.966979980469
88,179.0,52.9131660461426
89,188.0,52.9949264526367
90,188.0,51.8149528503418
91,189.0,20.5337085723877
92,190.0,381.931884765625
93,191.0,192.790008544922
94,192.0,196.096282958984
95,204.0,268.491088867188
96,205.0,40.4588241577148
97,206.0,359.04248046875
98,207.0,61.8891906738281
