#"+EI Scan (rt: 3.497-3.544 min, 9 scans) EUTYLONE-2.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,13279.49609375
1,42.0,2711.83422851563
2,43.0,2453.50659179688
3,44.0,2665.72119140625
4,45.0,161.338088989258
5,50.0,751.387939453125
6,51.0,1379.91088867188
7,52.0,394.6572265625
8,53.0,1410.59094238281
9,54.0,963.690979003906
10,55.0,1141.81225585938
11,56.0,9983.609375
12,57.0,954.279174804688
13,58.1,19498.494140625
14,59.0,783.730407714844
15,61.0,387.425964355469
16,62.0,2449.04809570313
17,63.0,8194.1826171875
18,64.0,1256.9833984375
19,65.0,11095.6474609375
20,66.0,843.174194335938
21,67.0,327.064605712891
22,68.0,560.313049316406
23,69.0,515.965576171875
24,70.1,3355.6923828125
25,71.0,834.65283203125
26,72.0,16.8966522216797
27,73.0,17.9196357727051
28,74.0,478.502105712891
29,75.0,277.496307373047
30,76.0,342.447387695313
31,77.0,1168.36218261719
32,78.0,316.234985351563
33,79.0,618.039306640625
34,80.0,115.914886474609
35,82.0,104.231315612793
36,82.1,48.8728218078613
37,83.1,38.9296188354492
38,84.1,5827.8759765625
39,85.1,1424.91772460938
40,86.1,212774.328125
41,87.1,12881.048828125
42,88.1,403.009185791016
43,89.0,397.125122070313
44,90.0,264.531860351563
45,91.0,3860.99780273438
46,92.0,818.427124023438
47,93.0,671.051635742188
48,94.4,115.422920227051
49,94.6,22.7112159729004
50,94.8,92.4576797485352
51,95.0,81.1565170288086
52,102.0,142.250427246094
53,103.0,575.948059082031
54,104.0,284.608734130859
55,105.0,456.370452880859
56,106.0,38.4085350036621
57,115.0,225.889297485352
58,116.0,46.4219512939453
59,117.0,166.991271972656
60,118.0,157.687698364258
61,119.0,1058.73291015625
62,120.0,881.370483398438
63,121.0,9718.2978515625
64,122.0,1221.72119140625
65,123.0,75.1087646484375
66,123.0,90.0000228881836
67,130.0,102.763458251953
68,131.0,277.282836914063
69,132.0,265.068572998047
70,132.9,16.9199123382568
71,133.0,218.414855957031
72,134.0,83.7604675292969
73,135.0,1811.60571289063
74,136.0,163.952941894531
75,145.0,142.053970336914
76,146.0,160.641540527344
77,147.0,511.082153320313
78,147.9,58.561164855957
79,148.0,832.220581054688
80,149.0,14292.314453125
81,150.0,1538.56262207031
82,150.9,135.770141601563
83,151.0,35.7339477539063
84,158.0,41.6816139221191
85,159.0,35.6826362609863
86,160.0,311.483612060547
87,160.9,19.3110084533691
88,161.0,290.490020751953
89,162.0,259.072937011719
90,163.0,114.007743835449
91,163.1,31.3130970001221
92,164.0,120.588607788086
93,174.0,127.109825134277
94,175.0,157.18408203125
95,176.0,1084.63110351563
96,177.0,571.07861328125
97,178.1,1983.595703125
98,179.0,217.813598632813
99,188.0,72.0333633422852
100,189.0,62.7080764770508
101,190.0,310.840454101563
102,191.0,115.024520874023
103,192.0,511.798706054688
104,202.0,183.936920166016
105,204.0,39.5480308532715
106,205.0,17.7165794372559
107,206.0,1184.48510742188
108,207.0,187.188095092773
109,217.0,96.3472900390625
110,218.0,17.6815052032471
111,219.1,51.9546852111816
