#"+EI Scan (rt: 1.772-1.813 min, 8 scans) 3-METHYLETHCATH-10.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,1991.31665039063
1,42.0,8951.80078125
2,43.0,1665.53466796875
3,44.1,40676.67578125
4,45.0,1235.751953125
5,50.0,894.331665039063
6,51.0,1609.47192382813
7,52.0,557.331237792969
8,53.0,424.085693359375
9,54.0,306.200347900391
10,55.0,972.827453613281
11,56.0,4609.42041015625
12,57.0,762.791137695313
13,58.1,29.0723934173584
14,60.9,74.8473663330078
15,62.0,728.430725097656
16,63.0,2539.13159179688
17,64.0,524.317138671875
18,64.0,305.483306884766
19,65.0,9137.3525390625
20,66.0,560.46875
21,67.0,24.1495666503906
22,68.0,305.216064453125
23,69.0,98.6958923339844
24,70.1,7180.6923828125
25,71.1,1247.24108886719
26,72.1,148696.859375
27,73.1,7566.82568359375
28,74.0,404.672729492188
29,75.0,244.17903137207
30,76.0,244.359359741211
31,77.0,1179.64111328125
32,78.0,345.703399658203
33,79.0,278.214904785156
34,85.9,64.9447326660156
35,86.0,36.6403656005859
36,87.0,166.327377319336
37,89.0,3029.85107421875
38,90.0,1283.07250976563
39,91.0,14508.9384765625
40,92.0,1522.79077148438
41,93.0,412.862731933594
42,102.0,143.948043823242
43,103.0,520.165283203125
44,104.0,250.972274780273
45,105.0,1127.59460449219
46,106.0,80.88720703125
47,115.0,738.30810546875
48,116.0,223.876617431641
49,117.0,700.564758300781
50,118.0,452.240661621094
51,119.0,6714.47021484375
52,119.9,25.8879642486572
53,120.0,774.954467773438
54,127.0,41.0312957763672
55,127.9,23.2124214172363
56,128.0,143.074127197266
57,128.9,20.3169193267822
58,129.0,149.858215332031
59,130.0,224.388824462891
60,131.0,570.220153808594
61,132.0,151.141448974609
62,133.0,428.466369628906
63,144.0,121.215522766113
64,145.0,48.4240760803223
65,146.0,955.643676757813
66,147.0,581.495422363281
67,148.1,1268.00354003906
68,149.0,140.215744018555
69,158.0,217.354904174805
70,160.1,182.748062133789
71,161.0,67.0100021362305
72,162.0,59.2346496582031
73,162.9,43.3883285522461
74,163.0,111.649261474609
75,174.0,151.308135986328
76,175.0,54.7337188720703
77,175.1,41.3518524169922
78,176.0,333.737487792969
79,190.1,47.9684448242188
80,191.0,23.7843227386475
81,207.0,34.0862731933594
