#"+EI Scan (rt: 6.216-6.304 min, 16 scans) R4M6.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.1,555.131591796875
1,41.1,20113.6015625
2,42.1,2141.02661132813
3,43.1,40884.10546875
4,44.0,1891.96228027344
5,44.8,15.4445724487305
6,44.9,28.789909362793
7,45.0,40.1373901367188
8,46.9,97.8721771240234
9,48.8,10.2631349563599
10,48.9,34.4960632324219
11,49.1,24.3800506591797
12,49.9,333.770538330078
13,50.0,400.429107666016
14,51.0,2125.32202148438
15,52.0,797.016235351563
16,53.0,1366.87805175781
17,53.1,111.749008178711
18,54.0,148.11474609375
19,54.1,246.472991943359
20,55.1,5931.6513671875
21,56.0,388.99853515625
22,56.1,46.2544708251953
23,56.9,113.146919250488
24,57.0,155.582992553711
25,57.1,62.5403633117676
26,57.7,20.2063674926758
27,58.0,192.701156616211
28,59.0,2307.5146484375
29,60.0,128.071624755859
30,60.2,18.9786434173584
31,60.9,7.14209365844727
32,61.0,157.726226806641
33,61.1,78.8619232177734
34,61.9,273.511688232422
35,62.0,952.410461425781
36,63.0,4235.97412109375
37,64.0,548.897216796875
38,64.1,248.883453369141
39,65.0,2063.70654296875
40,65.9,112.72428894043
41,66.1,146.65478515625
42,66.8,29.3449401855469
43,67.0,365.022430419922
44,67.1,9.07312774658203
45,67.9,71.5545196533203
46,68.1,49.6810722351074
47,69.0,1189.57080078125
48,70.0,159.86865234375
49,70.1,75.7908172607422
50,70.2,26.7035484313965
51,70.4,23.1734638214111
52,71.1,1025.83215332031
53,71.2,122.282592773438
54,71.9,83.7179260253906
55,72.1,61.9052352905273
56,72.3,27.8156986236572
57,73.0,1380.97863769531
58,74.0,519.869873046875
59,74.0,707.340270996094
60,75.0,3479.2021484375
61,76.0,3643.177734375
62,77.0,7710.28759765625
63,78.0,3443.24658203125
64,78.9,284.239715576172
65,79.0,306.373992919922
66,79.9,85.2004699707031
67,80.0,84.6477966308594
68,81.0,755.81689453125
69,81.8,6.89574527740479
70,82.0,74.2470474243164
71,82.1,50.625602722168
72,82.8,61.5371856689453
73,83.0,124.661743164063
74,83.1,49.2690734863281
75,83.3,20.893928527832
76,83.8,11.5354433059692
77,84.0,37.7235984802246
78,84.0,24.5845241546631
79,84.3,31.4336414337158
80,84.8,24.9545974731445
81,84.9,134.574554443359
82,85.1,27.3937797546387
83,85.3,27.6661415100098
84,85.7,24.9882431030273
85,85.9,199.825439453125
86,86.0,521.588623046875
87,87.0,1853.03076171875
88,88.0,3318.083984375
89,89.0,14853.568359375
90,90.0,2226.48608398438
91,90.2,30.7610034942627
92,91.0,3838.81787109375
93,91.9,160.31330871582
94,92.1,314.624969482422
95,92.7,6.79927206039429
96,93.0,179.784454345703
97,93.2,29.0180492401123
98,93.5,52.1370697021484
99,93.6,74.8668823242188
100,93.8,35.3002014160156
101,94.0,11.2171897888184
102,94.2,172.035202026367
103,94.3,45.6047134399414
104,94.5,253.880630493164
105,94.7,58.8248443603516
106,94.9,19.2182312011719
107,95.0,1.40354156494141
108,95.2,145.807113647461
109,95.5,15.9905118942261
110,95.8,20.1920967102051
111,96.1,194.256530761719
112,96.8,20.4641151428223
113,97.1,318.817626953125
114,97.9,411.387969970703
115,98.1,94.3687438964844
116,98.3,15.1779727935791
117,98.8,78.1230239868164
118,99.0,271.520935058594
119,99.1,251.9130859375
120,99.2,34.4843254089355
121,99.7,26.5912208557129
122,99.9,337.674987792969
123,100.0,791.495544433594
124,101.0,8041.2041015625
125,102.0,18955.720703125
126,103.0,5807.72314453125
127,104.0,502.589019775391
128,104.1,532.251586914063
