#"+EI Scan (rt: 10.256-10.506 min, 44 scans) CM3-MIX7-3.D "
#Point,X(Thompsons),Y(Counts)
0,40.0,29.1227779388428
1,40.1,138.640075683594
2,40.9,22.9064521789551
3,41.0,360.548980712891
4,41.1,84.9911041259766
5,41.9,7.35966539382935
6,42.0,29.5993175506592
7,42.9,19.257474899292
8,43.1,46.7490463256836
9,43.2,15.4876546859741
10,44.0,699.898132324219
11,44.0,156.925216674805
12,44.8,10.755410194397
13,44.9,105.249542236328
14,45.0,74.6394271850586
15,45.2,16.3711833953857
16,45.9,16.2706546783447
17,46.8,14.4156398773193
18,46.9,132.151077270508
19,47.0,162.134765625
20,47.1,32.9109649658203
21,47.8,7.48140096664429
22,48.0,5.3410267829895
23,48.9,44.6722717285156
24,49.0,51.1854019165039
25,49.2,15.2487030029297
26,50.0,1547.75390625
27,50.1,478.84326171875
28,50.9,38.494743347168
29,51.0,3503.0869140625
30,51.1,99.2478942871094
31,52.0,182.618881225586
32,52.0,383.887329101563
33,52.1,178.072402954102
34,53.0,356.935272216797
35,53.1,162.865783691406
36,54.0,27.1608772277832
37,54.1,12.2753410339355
38,54.2,8.01061534881592
39,54.8,5.82901954650879
40,54.9,51.3492660522461
41,55.0,214.350296020508
42,55.1,156.723449707031
43,55.8,13.3156881332397
44,56.0,104.698844909668
45,56.1,191.997375488281
46,56.8,27.3482418060303
47,57.0,3772.95532226563
48,57.7,48.1572608947754
49,57.8,75.0014572143555
50,58.0,130.375335693359
51,58.1,183.478622436523
52,58.3,33.6152267456055
53,59.1,8239.1396484375
54,60.0,129.868087768555
55,60.1,132.510589599609
56,60.2,91.2560882568359
57,60.8,11.6473503112793
58,60.9,259.150665283203
59,61.0,440.159851074219
60,61.1,69.1139678955078
61,62.0,897.9912109375
62,62.0,4919.50439453125
63,63.0,14354.2373046875
64,64.0,547.17236328125
65,64.0,2279.11108398438
66,65.1,6303.234375
67,65.9,35.3027305603027
68,66.0,186.615737915039
69,66.1,231.106384277344
70,66.8,10.6053647994995
71,66.9,61.9003944396973
72,67.1,55.3025512695313
73,67.2,4.56429481506348
74,67.9,59.1681365966797
75,68.0,46.2752838134766
76,68.2,6.33405447006226
77,68.7,4.34197282791138
78,68.9,269.679260253906
79,69.0,405.735321044922
80,69.9,90.7676849365234
81,70.0,294.153442382813
82,70.2,90.0948333740234
83,70.9,46.8916778564453
84,71.1,61.369457244873
85,71.2,36.291332244873
86,71.7,11.5584049224854
87,71.9,23.8816146850586
88,72.0,81.4643173217773
89,72.2,39.7057342529297
90,72.3,10.713433265686
91,73.1,2558.80078125
92,74.0,3254.63305664063
93,75.0,8476.82421875
94,75.9,30.2648849487305
95,76.1,3491.0263671875
96,77.0,10769.02734375
97,78.0,4792.64501953125
98,78.9,115.091339111328
99,79.0,801.140197753906
100,79.8,42.3095626831055
101,80.0,119.268424987793
102,80.1,82.0502014160156
103,81.0,3853.89599609375
104,81.8,49.2171859741211
105,82.0,218.485610961914
106,82.1,660.282470703125
107,82.2,471.351776123047
108,83.0,49509.87109375
109,84.0,1445.93896484375
110,84.1,1500.49365234375
111,84.9,134.483413696289
112,85.0,417.656158447266
113,85.1,223.602828979492
114,85.8,36.8446006774902
115,86.0,1166.19421386719
116,86.1,875.111145019531
117,87.0,2640.61206054688
118,87.1,2945.59887695313
