#"+EI Scan (rt: 10.250-10.506 min, 45 scans) CM3-MIX7-6.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.1,139.225387573242
1,40.9,88.5513763427734
2,41.0,106.809463500977
3,41.1,129.562896728516
4,41.9,6.9838981628418
5,42.1,10.5970878601074
6,42.9,31.3320655822754
7,43.1,62.4659614562988
8,43.9,12.8188323974609
9,44.0,62.7373657226563
10,44.1,36.9789123535156
11,44.8,2.98523473739624
12,45.0,9.34666442871094
13,45.1,51.1587181091309
14,46.9,41.9378204345703
15,48.8,21.3744945526123
16,48.9,54.1643142700195
17,49.0,45.5598831176758
18,49.3,7.81291151046753
19,49.9,21.3930282592773
20,50.0,1620.89050292969
21,51.0,2674.39819335938
22,51.9,57.5107040405273
23,52.0,454.398406982422
24,52.1,121.672409057617
25,52.7,5.36348342895508
26,53.0,242.993438720703
27,53.1,158.753067016602
28,53.9,3.5776572227478
29,54.2,3.44116067886353
30,54.8,3.69210815429688
31,55.0,120.262229919434
32,55.1,71.3412246704102
33,56.0,1.66398239135742
34,56.1,96.2507858276367
35,56.1,46.9717864990234
36,56.4,14.0216255187988
37,57.0,1495.26330566406
38,57.1,1625.37145996094
39,57.7,5.04776954650879
40,57.8,70.9764404296875
41,58.0,154.422836303711
42,58.1,162.105453491211
43,59.0,3435.89575195313
44,59.9,2.27926635742188
45,60.0,100.08544921875
46,60.1,101.014251708984
47,60.3,7.01262474060059
48,60.9,145.534759521484
49,61.0,346.439727783203
50,61.1,152.235977172852
51,62.0,2364.5927734375
52,62.1,2696.67016601563
53,63.0,12009.853515625
54,63.9,215.559814453125
55,64.0,1995.47473144531
56,65.0,5290.26123046875
57,65.9,262.056884765625
58,66.1,146.384979248047
59,66.2,4.11789178848267
60,66.9,30.3589096069336
61,67.1,59.6853141784668
62,67.8,35.2274398803711
63,68.0,86.1716461181641
64,68.2,3.20483589172363
65,69.0,360.241882324219
66,69.8,8.66610527038574
67,69.9,97.4184341430664
68,70.0,162.483993530273
69,70.1,41.2486228942871
70,70.9,7.7005729675293
71,71.0,53.0105972290039
72,71.1,27.1936531066895
73,71.8,30.8015022277832
74,72.0,79.603630065918
75,72.1,47.5389633178711
76,72.2,5.20770835876465
77,73.0,179.233764648438
78,73.1,491.35205078125
79,73.9,83.387809753418
80,74.0,2218.79516601563
81,74.1,446.5791015625
82,75.0,6803.3994140625
83,76.0,3009.40869140625
84,77.0,4500.01708984375
85,78.0,1358.67431640625
86,79.0,173.985610961914
87,79.1,43.4428558349609
88,79.8,24.5473613739014
89,79.9,25.626859664917
90,80.0,25.6880264282227
91,80.2,57.8276100158691
92,81.0,1786.41259765625
93,81.8,10.7976245880127
94,81.9,71.0127029418945
95,82.0,238.813110351563
96,82.1,770.841369628906
97,82.2,74.3020477294922
98,83.0,41155.375
99,84.0,2370.5947265625
100,84.9,187.856506347656
101,85.0,157.769485473633
102,85.1,152.20085144043
103,85.8,37.453067779541
104,86.0,965.398254394531
105,86.0,745.098693847656
106,86.9,137.688522338867
107,87.0,3965.7666015625
108,87.1,484.560943603516
109,88.0,10569.5595703125
110,89.0,24107.095703125
111,90.0,1521.79370117188
112,90.1,1175.97265625
113,90.9,91.203369140625
114,91.1,302.2119140625
115,91.8,14.1054401397705
116,92.0,60.5635261535645
117,92.1,5.30145835876465
118,92.7,2.46172094345093
119,92.8,46.2436485290527
120,92.9,80.7315979003906
121,93.1,45.6747779846191
122,93.9,72.4189529418945
123,94.0,174.187942504883
124,94.1,70.7381210327148
125,94.9,133.565246582031
126,95.0,610.425476074219
127,95.1,51.1249465942383
128,95.6,9.45909976959229
129,95.9,163.970092773438
130,96.0,293.793395996094
131,96.1,181.701416015625
132,96.9,39.7412033081055
133,97.0,172.999114990234
134,97.1,65.6193695068359
135,97.2,8.16882419586182
136,97.9,94.5236740112305
137,98.0,283.797698974609
138,98.1,219.74690246582
139,98.2,14.4115352630615
140,98.8,36.4246520996094
141,98.9,143.798324584961
142,99.0,271.018127441406
143,99.1,109.456748962402
144,99.5,4.70678520202637
145,99.9,118.120025634766
146,100.0,378.6171875
147,100.1,103.212585449219
148,101.0,4922.48974609375
149,102.0,1448.03198242188
150,102.1,1483.51892089844
151,102.8,11.216287612915
152,102.9,150.449172973633
153,103.0,487.025177001953
154,103.1,190.14030456543
155,103.6,10.8951873779297
156,103.8,41.5751876831055
157,103.9,54.6455345153809
158,104.0,62.2725524902344
159,104.2,39.1601371765137
160,104.3,18.9085712432861
161,104.7,30.7689037322998
162,104.8,53.4976654052734
163,104.9,197.710235595703
164,105.1,110.676399230957
165,105.2,11.365650177002
166,105.4,29.2912788391113
167,105.6,21.7441062927246
168,105.7,37.6792755126953
169,105.8,40.9226188659668
170,105.9,55.3626747131348
171,106.1,134.365219116211
172,106.2,91.6219635009766
173,106.3,25.2299175262451
174,107.0,8516.8955078125
175,108.0,35.4857521057129
176,108.2,7977.2978515625
177,108.2,1260.1865234375
178,109.0,508615.0625
179,110.1,39474.90625
180,111.0,1849.19104003906
181,111.1,87.3752365112305
182,111.7,10.7280111312866
183,111.9,119.976173400879
184,112.0,69.5250549316406
185,112.2,90.9346771240234
186,113.0,6625.822265625
187,114.1,17576.5078125
188,115.0,142901.984375
189,116.0,16077.19140625
190,117.0,574.414123535156
191,117.1,578.70068359375
192,117.9,80.3905639648438
193,118.1,90.8878402709961
194,118.6,10.3759775161743
195,118.8,56.7263450622559
196,119.0,49.4285659790039
197,119.1,37.3494911193848
198,119.8,78.7160491943359
199,120.0,158.522399902344
200,120.1,71.3292694091797
201,120.7,22.9169178009033
202,120.9,20.9950981140137
