#"+EI Scan (rt: 4.992-5.109 min, 21 scans) JWH-018-7.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.0787,159.657333374023
1,40.1800,2784.69262695313
2,41.0900,67646.921875
3,42.1600,7967.56787109375
4,43.0900,133774.65625
5,44.0789,4775.33837890625
6,44.9723,124.863906860352
7,46.7700,35.4324607849121
8,49.0600,51.7086944580078
9,49.1700,56.2074508666992
10,50.0400,3598.53173828125
11,51.0399,11293.328125
12,52.0400,3629.76342773438
13,53.0596,5465.4384765625
14,53.8800,44.0497016906738
15,54.0900,924.520202636719
16,54.1700,360.343444824219
17,55.0700,21048.306640625
18,56.0501,1523.01037597656
19,57.0412,524.7060546875
20,57.1311,91.4228134155273
21,57.8500,9.16548824310303
22,58.0359,28.1060371398926
23,58.1700,23.3512630462646
24,59.0200,527.709228515625
25,59.8966,47.9646873474121
26,60.0139,23.2259426116943
27,60.9300,155.435455322266
28,60.9898,242.806518554688
29,61.0800,108.502182006836
30,61.2500,12.3536424636841
31,62.0300,5437.490234375
32,63.0300,13962.3876953125
33,63.9595,364.383239746094
34,64.0401,2310.95190429688
35,65.0300,3868.056640625
36,65.9800,408.033813476563
37,66.0700,216.736602783203
38,66.9385,231.197830200195
39,67.0302,988.498046875
40,67.7700,12.3778057098389
41,67.8900,10.9504652023315
42,68.0100,141.475082397461
43,68.1400,82.0393447875977
44,68.3000,36.9484214782715
45,69.0394,1272.47998046875
46,69.0803,1644.15600585938
47,69.9200,30.993257522583
48,70.0500,200.255676269531
49,70.2000,106.748672485352
50,70.3900,16.2709274291992
51,71.0900,3704.3486328125
52,71.9100,47.9537582397461
53,72.0100,166.145141601563
54,72.1200,46.1949729919434
55,73.0197,664.340454101563
56,74.0397,9185.0224609375
57,75.0299,30787.169921875
58,76.0500,25392.048828125
59,77.0487,69418.703125
60,78.0367,11599.5048828125
61,79.0088,1521.41552734375
62,79.1200,86.5351333618164
63,79.9100,37.1398735046387
64,80.0705,208.537445068359
65,80.2900,9.22949409484863
66,80.9599,245.942398071289
67,81.0558,138.177642822266
68,81.5100,37.488883972168
69,81.6400,88.6642456054688
70,81.8105,123.785293579102
71,81.9561,17.4769401550293
72,82.1800,27.6342124938965
73,82.3000,27.1326084136963
74,82.7700,65.58642578125
75,82.8895,98.5595932006836
76,83.0450,19.5111331939697
77,83.2700,15.5307092666626
78,83.6100,29.7481575012207
79,83.7300,11.6818933486938
80,83.8700,36.1235733032227
81,83.9800,37.1616821289063
82,84.1200,60.0400848388672
83,84.8564,45.6703643798828
84,84.9700,183.051574707031
85,85.0712,164.218338012695
86,85.1800,7.58024454116821
87,86.0000,1735.63610839844
88,86.0600,1629.48645019531
89,87.0200,9280.9013671875
90,88.0400,17022.0703125
91,89.0400,55584.453125
92,90.0300,8150.5830078125
93,91.0401,2554.53735351563
94,91.8800,97.544319152832
95,91.9900,226.968826293945
96,92.1200,61.8195266723633
97,92.8032,41.0928268432617
98,92.9744,14.6789302825928
99,93.1221,59.888313293457
100,93.3200,105.265800476074
101,93.4600,315.546234130859
102,93.5700,701.53173828125
103,93.7200,155.308715820313
104,93.9000,192.085678100586
105,94.1600,26.8875389099121
106,94.3900,809.528930664063
107,94.5100,1870.87353515625
108,94.6500,27.1971874237061
109,94.7700,35.9717826843262
110,95.0900,60.3710479736328
111,95.2700,73.0981063842773
112,95.5300,10.6128149032593
113,95.6500,15.5833110809326
114,95.7600,46.1003799438477
115,95.8800,28.1135654449463
116,96.0400,28.8794898986816
117,96.9370,75.1481475830078
118,97.0600,74.8343276977539
119,97.1900,23.2324619293213
120,98.0100,3173.46362304688
121,99.0200,5126.77734375
122,100.0500,8580.0751953125
123,101.0400,73992.859375
124,102.0400,84033.453125
125,103.0400,26130.20703125
126,104.0300,3783.30590820313
127,104.9174,87.2996826171875
128,105.0500,279.606201171875
129,105.2100,203.276153564453
130,105.3600,180.833709716797
131,105.5700,18.6951026916504
132,105.7300,60.5621795654297
133,105.8800,57.6025505065918
134,106.4600,1735.37670898438
135,106.5600,2854.94116210938
136,106.7698,348.564575195313
137,107.0897,149.961761474609
138,107.2800,622.741088867188
139,107.4000,598.035949707031
140,107.5500,356.945098876953
141,107.6500,200.271026611328
142,107.7600,83.1274642944336
143,107.9900,38.4786720275879
144,108.2100,202.192947387695
145,108.4000,232.114532470703
146,108.5800,102.222595214844
147,108.7900,198.619598388672
148,108.8819,291.553405761719
149,108.9900,227.692810058594
150,109.9163,155.227630615234
151,109.9997,559.45361328125
152,110.9793,936.434387207031
153,111.0995,466.930877685547
