#"+EI Scan (rt: 14.044-14.076 min, 6 scans) Iso1-9A.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.1,505.304290771484
1,41.1,15297.697265625
2,42.0,76.8915405273438
3,42.1,1150.24011230469
4,43.1,23319.2578125
5,46.9,65.958381652832
6,49.1,20.2282485961914
7,50.0,449.116058349609
8,51.0,1827.64294433594
9,52.0,922.199401855469
10,53.0,4697.615234375
11,54.0,643.391540527344
12,55.0,9589.998046875
13,56.0,1446.39416503906
14,57.1,2122.20825195313
15,57.9,188.487899780273
16,58.0,85.8611755371094
17,61.0,12.2076005935669
18,62.0,279.739166259766
19,63.0,1645.109375
20,63.9,95.4652099609375
21,64.0,779.158752441406
22,65.0,4348.70703125
23,65.9,59.0109214782715
24,66.0,848.282897949219
25,67.0,5307.30078125
26,68.0,265.860687255859
27,68.1,184.943237304688
28,69.0,3768.64868164063
29,70.0,505.918182373047
30,70.1,183.10466003418
31,71.0,1946.21179199219
32,72.0,130.638198852539
33,72.1,67.093017578125
34,74.0,38.085693359375
35,75.0,649.25244140625
36,76.0,3171.072265625
37,77.0,2370.935546875
38,79.0,3298.9462890625
39,80.0,495.520843505859
40,81.0,807.9619140625
41,82.1,1651.60522460938
42,82.2,1527.9931640625
43,82.8,2637.30639648438
44,83.9,98.3252029418945
45,84.0,1025.20324707031
46,84.9,219.450881958008
47,85.7,27.8517742156982
48,85.9,89.8103332519531
49,86.1,214.320877075195
50,87.0,603.283142089844
51,88.0,1667.19592285156
52,89.0,6555.1083984375
53,90.0,1354.63781738281
54,90.1,337.042907714844
55,91.0,11041.505859375
56,92.0,1624.9765625
57,93.0,1422.736328125
58,94.9,3380.53686523438
59,95.1,605.058471679688
60,95.9,1408.08190917969
61,96.1,194.274063110352
62,97.0,3832.92724609375
63,97.7,833.919799804688
64,97.8,323.357666015625
65,98.0,331.007476806641
66,98.1,303.878112792969
67,98.9,209.560668945313
68,99.0,856.635986328125
69,99.7,27.5324535369873
70,100.0,202.591583251953
71,100.1,97.7922134399414
72,100.2,185.922241210938
73,101.0,3164.4794921875
74,102.1,3723.748046875
75,103.0,6290.3671875
76,104.0,8357.16015625
77,105.0,8437.369140625
78,105.8,1775.99890136719
79,106.0,529.463684082031
80,107.0,1830.2705078125
81,107.9,885.382751464844
82,109.0,3345.048828125
83,110.0,1591.16931152344
84,110.2,1390.46984863281
85,111.0,8908.0126953125
86,112.0,8118.642578125
87,112.9,2406.458984375
88,114.0,1160.2919921875
89,114.1,176.040084838867
90,115.0,24682.607421875
91,116.0,6157.119140625
92,117.0,7093.953125
93,118.1,7903.86181640625
94,119.4,69773.984375
95,120.8,1484.11437988281
96,121.0,266.373413085938
97,121.9,222.243942260742
98,122.0,36.8794021606445
99,122.2,73.2152328491211
100,123.0,2582.36059570313
101,124.0,837.164489746094
102,124.1,2179.927734375
103,125.2,7980.73779296875
104,126.0,16101.3828125
105,127.0,16438.919921875
106,128.0,41711.7421875
107,129.1,24000.328125
108,130.1,4552.01953125
109,131.0,51.5122985839844
110,131.1,3050.7314453125
111,131.9,66.295295715332
112,132.0,1541.98010253906
113,133.0,2127.197265625
114,134.1,4437.37841796875
115,135.0,375.60302734375
116,136.0,305.447601318359
117,139.0,7505.1533203125
118,140.1,2876.25024414063
119,141.1,28632.462890625
120,142.1,12284.8701171875
121,143.1,12552.7421875
122,144.1,3934.90991210938
123,145.1,3961.44897460938
124,146.0,1461.68041992188
125,147.0,169.11083984375
126,147.8,75.3108215332031
127,148.2,43.3022766113281
128,148.9,351.283050537109
129,150.0,2277.00903320313
130,151.0,9410.4716796875
131,152.1,51340.54296875
132,153.1,25068.74609375
133,154.1,7694.12109375
134,155.1,18183.45703125
135,156.0,4872.1083984375
136,157.0,4681.3046875
137,158.1,1647.01257324219
138,161.0,827.95166015625
139,162.0,741.857055664063
140,163.0,2646.42504882813
141,164.1,6785.65283203125
142,165.1,88592.3359375
143,166.1,34848.07421875
144,167.1,23203.779296875
145,168.1,9145.7216796875
146,169.1,10411.818359375
147,170.1,7199.392578125
148,171.1,9025.3056640625
149,172.1,5353.9990234375
150,173.0,1572.24816894531
151,174.0,304.503845214844
152,174.1,247.640625
153,175.0,793.19482421875
154,176.1,8065.17333984375
155,177.1,9083.505859375
156,178.1,39502.23828125
157,179.1,27199.0546875
158,180.1,10907.8369140625
159,181.1,25780.427734375
160,182.1,9389.201171875
161,183.1,7526.51171875
162,184.1,2790.34252929688
163,185.0,2985.58129882813
164,186.0,599.957336425781
165,186.2,155.950302124023
166,187.0,597.624267578125
167,188.1,732.227111816406
168,189.1,18387.00390625
169,190.1,12981.36328125
170,191.1,22881.107421875
171,192.1,16544.875
172,193.1,18114.908203125
173,194.1,20000.646484375
174,195.1,58069.65625
175,196.1,16486.513671875
176,197.1,11221.9462890625
177,198.1,3801.79174804688
178,199.1,11734.3291015625
179,200.0,2420.99731445313
180,201.0,2111.68969726563
181,202.1,9071.3623046875
182,203.1,8473.91796875
183,204.1,3992.69677734375
184,205.1,13656.9365234375
185,206.1,8808.90625
186,207.1,16724.51953125
187,208.1,18076.55859375
188,209.1,65217.203125
189,210.1,18278.255859375
190,211.1,21300.21875
191,212.1,5483.12109375
192,213.0,1604.40515136719
193,214.1,510.237884521484
194,216.0,315.97509765625
195,217.0,784.73876953125
196,218.1,4076.529296875
197,219.0,5812.708984375
198,220.1,6360.93408203125
199,221.1,18348.775390625
200,222.1,16978.611328125
201,223.1,197597.109375
202,224.1,66560.7421875
203,225.1,29308.357421875
204,226.1,5130.42529296875
205,227.0,972.47021484375
206,228.1,699.059692382813
207,229.0,902.61474609375
208,230.0,811.716430664063
209,230.2,58.9213523864746
210,231.1,2508.72412109375
211,232.0,123.363487243652
212,232.1,1559.10693359375
213,234.0,2456.51220703125
214,235.1,18464.544921875
215,236.1,15407.6787109375
216,237.1,67684.4453125
217,238.1,645222.0625
218,239.1,161104.640625
219,240.1,21093.822265625
220,241.1,4139.67578125
221,242.0,195.702926635742
222,242.1,235.042068481445
223,243.1,525.441528320313
224,244.0,57.3895721435547
225,244.1,415.008880615234
226,245.1,1171.75170898438
227,246.1,1407.95947265625
228,247.1,3978.56640625
229,248.1,2135.45043945313
230,249.1,7854.552734375
231,250.2,7879.17138671875
232,251.1,162694.6875
233,252.1,47639.62109375
234,253.1,55031.81640625
235,254.1,19215.16015625
236,255.1,3115.0107421875
237,256.1,463.956970214844
238,257.1,168.145202636719
239,257.9,16.8884944915771
240,258.1,308.961853027344
241,259.0,291.126953125
242,259.1,227.760543823242
243,260.0,251.198364257813
244,261.0,1360.7158203125
245,262.1,1099.55603027344
246,263.1,10042.890625
247,264.1,3041.42700195313
248,265.1,29744.63671875
249,266.1,6673.06298828125
250,267.0,271.490356445313
251,267.1,15148.99609375
252,268.1,3200.12622070313
253,269.1,1968.36474609375
254,270.1,209.247467041016
255,272.0,45.6918640136719
256,274.0,268.380615234375
257,275.0,576.390258789063
258,276.0,73.5030517578125
259,276.1,865.98193359375
260,277.1,4486.51611328125
261,278.1,1268.75463867188
262,279.1,8472.6630859375
263,280.1,2677.30444335938
264,281.1,9424.5537109375
265,282.2,1654.44152832031
266,283.1,200.09130859375
267,284.2,25.8139572143555
268,286.0,75.9988403320313
269,286.7,35.7579765319824
270,287.8,31.2192687988281
271,287.9,86.5367202758789
272,288.1,21.0173683166504
273,290.1,458.301483154297
274,291.1,2671.84326171875
275,293.2,33360.31640625
276,295.2,4262749
277,296.2,1145192.625
