#"+EI Scan (rt: 18.892-18.968 min, 13 scans) Iso 1-5A.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.0,680.364868164063
1,41.1,6810.9638671875
2,42.1,28028.2578125
3,43.1,4061.55932617188
4,44.0,13356.455078125
5,45.0,335.061157226563
6,45.9,95.4674987792969
7,48.9,93.8763580322266
8,50.0,814.019287109375
9,51.0,3022.29443359375
10,51.9,66.3794708251953
11,52.0,918.49365234375
12,53.0,1741.22387695313
13,54.0,497.225952148438
14,54.1,1632.49780273438
15,55.0,6352.28125
16,56.0,3787.6943359375
17,57.0,2402.8447265625
18,58.1,354.672882080078
19,58.2,46.6288375854492
20,59.0,1928.8984375
21,60.0,81.6778564453125
22,61.0,88.651741027832
23,61.9,84.6462020874023
24,62.0,174.571823120117
25,63.0,1092.63549804688
26,64.0,819.451843261719
27,65.0,5180.63671875
28,66.0,1248.9404296875
29,67.0,8503.908203125
30,68.0,5678.1552734375
31,69.0,6728.46826171875
32,70.0,7280.2783203125
33,71.0,701.042846679688
34,72.0,63.3945274353027
35,72.1,75.8171157836914
36,73.0,377.62109375
37,74.0,293.89111328125
38,75.0,403.48974609375
39,76.1,954.072814941406
40,77.0,21786.296875
41,78.0,5281.478515625
42,79.0,11328.96484375
43,80.0,2833.07348632813
44,81.0,2475.5029296875
45,82.0,5989.6982421875
46,83.0,1394.71997070313
47,84.1,2155.7666015625
48,85.0,239.940841674805
49,85.8,13.508692741394
50,86.0,146.872024536133
51,87.0,109.859939575195
52,87.9,107.449966430664
53,88.0,64.0230712890625
54,88.2,8.99288368225098
55,89.0,1390.80712890625
56,90.0,964.958618164063
57,91.1,15413.6728515625
58,92.0,2819.73950195313
59,93.0,3124.62084960938
60,94.1,6442.1982421875
61,95.0,317896.53125
62,96.0,57765.48046875
63,97.0,6304.15771484375
64,98.1,4824.72607421875
65,99.0,475.320861816406
66,99.1,16.0827178955078
67,99.9,75.8023223876953
68,100.1,30.0659675598145
69,101.0,280.778839111328
70,102.0,1324.59228515625
71,103.0,10809.0126953125
72,104.0,13786.626953125
73,105.0,49695.875
74,106.0,6233.1796875
75,107.0,1156.19714355469
76,108.0,480.992645263672
77,108.1,138.374389648438
78,109.0,1406.8818359375
79,110.0,629.092956542969
80,111.0,165.717895507813
81,111.9,87.5137329101563
82,112.1,90.5029983520508
83,113.0,194.578735351563
84,113.9,49.6060256958008
85,114.0,228.222625732422
86,115.0,2987.39892578125
87,116.0,1392.04052734375
88,117.0,5550.84033203125
89,118.0,7178.4072265625
90,119.0,4060.26147460938
91,120.0,1884.40026855469
92,121.0,417.241088867188
93,121.9,38.0162200927734
94,122.0,151.618179321289
95,122.9,137.983459472656
96,124.0,752.115234375
97,124.9,223.808990478516
98,126.0,1011.52880859375
99,127.0,627.770080566406
100,128.0,1202.55773925781
101,129.0,1654.15783691406
102,130.0,14133.1552734375
103,131.0,7582.67626953125
104,132.1,14311.1259765625
105,133.0,2078.01708984375
106,134.0,22.651123046875
107,134.1,2595.92309570313
108,135.0,885.6025390625
109,136.0,175.155975341797
110,137.0,13698.65625
111,138.0,3003.1806640625
112,139.0,1190.17724609375
113,139.9,140.406921386719
114,140.0,234.534805297852
115,141.0,617.912109375
116,142.0,900.094848632813
117,143.0,1957.81677246094
118,144.1,3768.43139648438
119,145.0,2357.38159179688
120,146.1,7596.80419921875
121,147.0,1440.31164550781
122,148.0,2270.0068359375
123,148.9,41.0520324707031
124,149.0,406.2548828125
125,150.0,238.880889892578
126,151.0,357.708374023438
127,152.0,372.938812255859
128,153.0,182.64094543457
129,154.0,286.686889648438
130,154.1,269.233276367188
131,155.0,1282.2763671875
132,156.0,1270.31274414063
133,157.0,1065.64721679688
134,158.1,75704.9140625
135,159.0,12927.8828125
136,160.0,6550.06201171875
137,161.0,979.66064453125
138,162.0,448.543975830078
139,162.9,212.82373046875
140,163.8,113.298683166504
141,163.9,6.78131103515625
142,164.9,143.667022705078
143,166.0,241.817932128906
144,166.1,4.18772315979004
145,166.9,494.304443359375
146,168.0,901.160583496094
147,169.0,753.542053222656
148,170.0,20905.935546875
149,171.0,5739.34326171875
150,172.1,2705.66040039063
151,173.0,1460.75146484375
152,174.0,286.614959716797
153,174.1,47.7835426330566
154,175.0,404.781433105469
