#"+EI Scan (rt: 4.711-4.743 min, 6 scans) Iso4-3.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,40.1,3170.42529296875
1,41.1,16964.875
2,42.1,41109.4453125
3,43.1,19452.337890625
4,44.1,4324.47607421875
5,45.2,197.69889831543
6,45.4,76.8047866821289
7,46.3,31.9753494262695
8,48.9,53.827808380127
9,49.0,25.9282665252686
10,50.0,6326.46240234375
11,51.0,19699.69921875
12,52.0,5907.77587890625
13,53.0,2634.81079101563
14,54.0,3728.0615234375
15,55.1,2821.38012695313
16,56.1,70681.3671875
17,57.2,29564.890625
18,58.1,1454317.625
19,59.1,57805.07421875
20,60.0,1123.60107421875
21,60.9,25.1132564544678
22,61.0,760.22216796875
23,62.0,4167.0078125
24,63.0,16273.46875
25,64.1,5093.20263671875
26,65.0,59080.6015625
27,65.9,169.991363525391
28,66.3,6144.09765625
29,66.4,220.305374145508
30,66.8,6255.611328125
31,67.9,539.747192382813
32,68.0,91.1731948852539
33,69.0,103.217063903809
34,70.1,2587.8642578125
35,71.0,267.313842773438
36,71.2,901.151611328125
37,71.7,111.996398925781
38,72.3,124.346099853516
39,72.4,342.743408203125
40,72.6,91.9488143920898
41,72.8,98.3851928710938
42,73.1,51.9188117980957
43,73.3,53.5490417480469
44,74.0,2636.34716796875
45,75.0,2914.650390625
46,76.0,3667.45043945313
47,77.0,26501.119140625
48,78.0,11797.6982421875
49,79.0,5862.22314453125
50,80.0,980.3427734375
51,81.0,213.580230712891
52,82.1,82.5813674926758
53,85.0,305.118225097656
54,85.9,47.7227020263672
55,86.0,888.907531738281
56,86.9,40.1043701171875
57,87.0,1243.521484375
58,87.9,35.6582641601563
59,88.0,875.468688964844
60,89.0,20037.955078125
61,90.1,9944.6416015625
62,91.0,169554.765625
63,92.1,16408.29296875
64,92.9,136.033111572266
65,93.1,3694.78588867188
66,94.1,653.394958496094
67,94.9,72.2930603027344
68,95.1,27.3654346466064
69,97.0,26.5114974975586
70,97.9,183.977188110352
71,98.9,76.3918762207031
72,100.0,26.9915256500244
73,101.0,283.366546630859
74,101.1,443.392578125
75,102.0,5056.58984375
76,103.1,12645.7431640625
77,104.1,9126.9833984375
78,105.1,9327.615234375
79,106.0,2467.82592773438
80,107.0,691.232727050781
81,107.9,45.9257392883301
82,108.1,97.0737533569336
83,109.0,195.346542358398
84,111.0,28.2467403411865
85,113.0,419.451019287109
86,114.1,494.506134033203
87,115.0,33084.5
88,116.1,9985.3759765625
89,117.0,35477.87890625
90,118.0,20158.326171875
91,119.1,33259.15625
92,119.9,124.666709899902
93,120.1,3454.77075195313
94,121.0,179.801651000977
95,126.9,83.0541229248047
96,127.0,37.2312202453613
97,127.9,190.065872192383
98,128.1,287.633392333984
99,129.0,465.939086914063
100,129.1,246.823364257813
101,130.0,6720.080078125
102,131.1,3130.275390625
103,132.1,18540.470703125
104,133.1,14655.7041015625
105,134.1,59228.73828125
106,135.1,6029.91015625
107,136.1,306.380340576172
108,137.0,539.323913574219
109,138.0,84.3735656738281
110,138.2,27.4134349822998
111,140.9,7.58688354492188
112,141.1,30.1360301971436
113,141.9,29.2625141143799
114,142.0,103.538055419922
115,142.8,42.7648124694824
116,143.0,213.313232421875
117,143.3,31.6541080474854
118,144.1,1798.890625
119,144.9,73.171745300293
120,145.0,391.200317382813
121,146.1,4477.1279296875
122,147.1,2125.40307617188
123,148.1,19388.10546875
124,149.1,2638.70556640625
125,150.1,1939.83459472656
126,151.0,137.95866394043
127,151.2,106.624206542969
128,154.9,10.7103214263916
129,155.0,72.2354354858398
130,158.9,158.615310668945
131,159.9,23.5889358520508
132,160.0,26.0325794219971
133,160.9,27.182502746582
134,162.8,48.574592590332
135,210.9,105.404037475586
136,215.0,644.745239257813
137,215.9,178.418807983398
138,216.9,17.2868690490723
139,217.0,104.167427062988
140,218.9,197.803909301758
141,219.9,26.8966503143311
142,232.9,299.223510742188
143,234.0,25.1803016662598
144,236.9,374.654907226563
145,237.8,18.2093753814697
146,238.0,120.121124267578
147,238.9,91.1325302124023
148,273.0,24.3511219024658
149,280.9,28.4255752563477
150,288.9,132.387008666992
151,289.0,14.422924041748
152,292.8,120.696807861328
153,292.9,88.599723815918
